Date,Commodity,Wholesale,Retail,Landing
12/2/2024,Gabi (bisol),55,60,20
12/2/2024,Kamote,35,35,15
12/2/2024,Karlang,40,70,13
12/2/2024,Cassava,15,20,18
12/1/2024,Gabi (bisol),50,65,20
12/1/2024,Kamote,28,35,15
12/1/2024,Karlang,55,70,13
12/1/2024,Cassava,12,20,18
11/30/2024,Gabi (bisol),49,65,20
11/30/2024,Kamote,29,40,32
11/30/2024,Karlang,50,65,34
11/30/2024,Cassava,12,20,18
11/29/2024,Gabi (bisol),55,60,20
11/29/2024,Kamote,35,40,15
11/29/2024,Karlang,40,70,13
11/29/2024,Cassava,12,20,18
11/28/2024,Gabi (bisol),55,65,20
11/28/2024,Kamote,35,40,15
11/28/2024,Karlang,45,70,13
11/28/2024,Cassava,15,20,18
11/27/2024,Gabi (bisol),55,60,20
11/27/2024,Kamote,35,40,15
11/27/2024,Karlang,45,70,13
11/27/2024,Cassava,15,20,18
11/26/2024,Gabi (bisol),60,70,20
11/26/2024,Kamote,30,35,15
11/26/2024,Karlang,50,70,13
11/26/2024,Cassava,20,30,18
11/25/2024,Gabi (bisol),60,70,20
11/25/2024,Kamote,30,35,32
11/25/2024,Karlang,50,70,34
11/25/2024,Cassava,20,30,18
11/24/2024,Gabi (bisol),50,70,20
11/24/2024,Kamote,28,40,32
11/24/2024,Karlang,55,70,34
11/24/2024,Cassava,15,20,18
11/23/2024,Gabi (bisol),50,60,20
11/23/2024,Kamote,29,35,32
11/23/2024,Karlang,50,70,34
11/23/2024,Cassava,15,20,18
11/22/2024,Gabi (bisol),35,60,20
11/22/2024,Kamote,20,40,32
11/22/2024,Karlang,20,65,34
11/22/2024,Cassava,15,20,18
11/21/2024,Gabi (bisol),40,50,20
11/21/2024,Kamote,25,35,32
11/21/2024,Karlang,30,70,34
11/21/2024,Cassava,15,20,18
11/20/2024,Gabi (bisol),45,60,19
11/20/2024,Kamote,25,35,32
11/20/2024,Karlang,35,65,34
11/20/2024,Cassava,15,20,18
11/19/2024,Gabi (bisol),50,60,19
11/19/2024,Kamote,25,40,32
11/19/2024,Karlang,35,70,34
11/19/2024,Cassava,15,20,18
11/18/2024,Gabi (bisol),55,60,19
11/18/2024,Kamote,30,35,32
11/18/2024,Karlang,35,65,34
11/18/2024,Cassava,15,20,18
11/17/2024,Gabi (bisol),45,60,19
11/17/2024,Kamote,30,35,32
11/17/2024,Karlang,55,65,34
11/17/2024,Cassava,12,20,18
11/16/2024,Gabi (bisol),45,55,21
11/16/2024,Kamote,30,35,32
11/16/2024,Karlang,50,70,34
11/16/2024,Cassava,12,20,19
11/15/2024,Gabi (bisol),55,60,21
11/15/2024,Kamote,30,35,32
11/15/2024,Karlang,40,65,34
11/15/2024,Cassava,12,20,19
11/14/2024,Gabi (bisol),55,60,21
11/14/2024,Kamote,30,35,32
11/14/2024,Karlang,40,65,34
11/14/2024,Cassava,12,20,19
11/13/2024,Gabi (bisol),60,65,21
11/13/2024,Kamote,30,35,35
11/13/2024,Karlang,40,60,35
11/13/2024,Cassava,15,20,19
11/12/2024,Gabi (bisol),60,65,21
11/12/2024,Kamote,30,35,32
11/12/2024,Karlang,40,65,34
11/12/2024,Cassava,15,20,19
11/11/2024,Gabi (bisol),65,65,22
11/11/2024,Kamote,30,35,32
11/11/2024,Karlang,45,55,34
11/11/2024,Cassava,10,20,19
11/10/2024,Gabi (bisol),45,50,21
11/10/2024,Kamote,30,35,32
11/10/2024,Karlang,45,60,35
11/10/2024,Cassava,10,20,20
11/9/2024,Gabi (bisol),45,50,21
11/9/2024,Kamote,30,40,32
11/9/2024,Karlang,50,60,34
11/9/2024,Cassava,10,20,19
11/8/2024,Gabi (bisol),30,50,21
11/8/2024,Kamote,25,35,32
11/8/2024,Karlang,25,60,34
11/8/2024,Cassava,10,20,19
11/7/2024,Gabi (bisol),35,50,21
11/7/2024,Kamote,30,35,32
11/7/2024,Karlang,30,60,34
11/7/2024,Cassava,10,20,19
11/6/2024,Gabi (bisol),35,50,21
11/6/2024,Kamote,30,37,32
11/6/2024,Karlang,45,60,34
11/6/2024,Cassava,10,20,19
11/5/2024,Gabi (bisol),35,50,21
11/5/2024,Kamote,30,40,32
11/5/2024,Karlang,45,60,34
11/5/2024,Cassava,10,20,19
11/4/2024,Gabi (bisol),35,50,19
11/4/2024,Kamote,30,35,35
11/4/2024,Karlang,45,60,34
11/4/2024,Cassava,10,18,19
11/3/2024,Gabi (bisol),25,50,19
11/3/2024,Kamote,20,35,35
11/3/2024,Karlang,35,60,34
11/3/2024,Cassava,10,20,19
11/2/2024,Gabi (bisol),25,60,19
11/2/2024,Kamote,20,40,35
11/2/2024,Karlang,35,60,34
11/2/2024,Cassava,10,20,19
11/1/2024,Gabi (bisol),25,50,19
11/1/2024,Kamote,20,35,35
11/1/2024,Karlang,35,60,34
11/1/2024,Cassava,10,20,19
10/31/2024,Gabi (bisol),30,50,19
10/31/2024,Kamote,20,35,35
10/31/2024,Karlang,40,55,34
10/31/2024,Cassava,18,20,19
10/30/2024,Gabi (bisol),30,55,19
10/30/2024,Kamote,20,40,33
10/30/2024,Karlang,40,60,33
10/30/2024,Cassava,18,20,19
10/29/2024,Gabi (bisol),30,55,19
10/29/2024,Kamote,20,40,33
10/29/2024,Karlang,40,60,33
10/29/2024,Cassava,18,20,19
10/28/2024,Gabi (bisol),30,50,19
10/28/2024,Kamote,25,35,33
10/28/2024,Karlang,30,50,33
10/28/2024,Cassava,18,20,19
10/27/2024,Gabi (bisol),30,50,19
10/27/2024,Kamote,25,42,33
10/27/2024,Karlang,30,60,33
10/27/2024,Cassava,18,20,20
10/26/2024,Gabi (bisol),30,50,19
10/26/2024,Kamote,25,35,33
10/26/2024,Karlang,30,50,33
10/26/2024,Cassava,18,20,20
10/25/2024,Gabi (bisol),30,50,19
10/25/2024,Kamote,25,35,33
10/25/2024,Karlang,30,60,33
10/25/2024,Cassava,18,20,20
10/24/2024,Gabi (bisol),30,50,19
10/24/2024,Kamote,25,35,33
10/24/2024,Karlang,30,60,33
10/24/2024,Cassava,18,20,20
10/23/2024,Gabi (bisol),30,50,19
10/23/2024,Kamote,25,35,33
10/23/2024,Karlang,30,60,33
10/23/2024,Cassava,18,20,20
11/22/2024,Gabi (bisol),30,50,19
11/22/2024,Kamote,30,35,33
11/22/2024,Karlang,25,60,33
11/22/2024,Cassava,18,20,20
10/21/2024,Gabi (bisol),35,50,19
10/21/2024,Kamote,30,40,33
10/21/2024,Karlang,40,60,33
10/21/2024,Cassava,18,20,20
11/20/2024,Gabi (bisol),35,50,22
11/20/2024,Kamote,35,35,33
11/20/2024,Karlang,55,65,30
11/20/2024,Cassava,18,20,20
10/19/2024,Gabi (bisol),35,50,22
10/19/2024,Kamote,35,60,33
10/19/2024,Karlang,55,65,30
10/19/2024,Cassava,18,20,24
10/18/2024,Gabi (bisol),35,50,22
10/18/2024,Kamote,30,35,33
10/18/2024,Karlang,40,60,30
10/18/2024,Cassava,10,20,22
10/17/2024,Gabi (bisol),35,50,22
10/17/2024,Kamote,35,35,33
10/17/2024,Karlang,40,60,30
10/17/2024,Cassava,10,20,20
10/16/2024,Gabi (bisol),35,50,22
10/16/2024,Kamote,35,35,25
10/16/2024,Karlang,45,65,30
10/16/2024,Cassava,10,20,20
10/15/2024,Gabi (bisol),35,50,22
10/15/2024,Kamote,35,40,33
10/15/2024,Karlang,40,65,30
10/15/2024,Cassava,10,20,20
10/14/2024,Gabi (bisol),35,55,22
10/14/2024,Kamote,35,40,33
10/14/2024,Karlang,40,65,30
10/14/2024,Cassava,10,20,20
10/13/2024,Gabi (bisol),45,60,22
10/13/2024,Kamote,30,35,33
10/13/2024,Karlang,65,70,30
10/13/2024,Cassava,18,20,20
10/12/2024,Gabi (bisol),50,60,22
10/12/2024,Kamote,50,55,33
10/12/2024,Karlang,60,70,30
10/12/2024,Cassava,18,20,20
10/11/2024,Gabi (bisol),35,50,20
10/11/2024,Kamote,35,50,33
10/11/2024,Karlang,40,65,30
10/11/2024,Cassava,10,18,23
10/10/2024,Gabi (bisol),35,55,20
10/10/2024,Kamote,35,50,33
10/10/2024,Karlang,40,70,30
10/10/2024,Cassava,10,18,23
10/9/2024,Gabi (bisol),35,60,20
10/9/2024,Kamote,35,60,33
10/9/2024,Karlang,40,70,30
10/9/2024,Cassava,10,18,23
10/8/2024,Gabi (bisol),35,60,20
10/8/2024,Kamote,35,50,33
10/8/2024,Karlang,45,70,30
10/8/2024,Cassava,10,20,23
10/7/2024,Gabi (bisol),40,60,20
10/7/2024,Kamote,40,60,33
10/7/2024,Karlang,40,70,30
10/7/2024,Cassava,12,20,23
10/6/2024,Gabi (bisol),50,60,20
10/6/2024,Kamote,45,60,33
10/6/2024,Karlang,45,70,30
10/6/2024,Cassava,18,20,23
10/5/2024,Gabi (bisol),50,60,20
10/5/2024,Kamote,50,60,33
10/5/2024,Karlang,45,70,30
10/5/2024,Cassava,15,20,23
10/4/2024,Gabi (bisol),40,55,20
10/4/2024,Kamote,40,50,33
10/4/2024,Karlang,40,65,28
10/4/2024,Cassava,15,18,25
10/3/2024,Gabi (bisol),40,60,20
10/3/2024,Kamote,40,55,33
10/3/2024,Karlang,40,70,30
10/3/2024,Cassava,15,18,23
10/2/2024,Gabi (bisol),40,60,20
10/2/2024,Kamote,40,60,33
10/2/2024,Karlang,40,70,30
10/2/2024,Cassava,12,18,23
10/1/2024,Gabi (bisol),40,60,20
10/1/2024,Kamote,40,50,33
10/1/2024,Karlang,40,67,29
10/1/2024,Cassava,15,19,23
9/30/2024,Gabi (bisol),50,60,20
9/30/2024,Kamote,50,50,33
9/30/2024,Karlang,15,70,29
9/30/2024,Cassava,15,20,23
9/29/2024,Gabi (bisol),50,60,20
9/29/2024,Kamote,35,50,33
9/29/2024,Karlang,50,65,29
9/29/2024,Cassava,15,20,23
9/28/2024,Gabi (bisol),50,60,20
9/28/2024,Kamote,40,50,33
9/28/2024,Karlang,55,70,29
9/28/2024,Cassava,15,20,23
9/27/2024,Gabi (bisol),50,60,20
9/27/2024,Kamote,35,55,33
9/27/2024,Karlang,50,70,30
9/27/2024,Cassava,15,18,23
9/25/2024,Gabi (bisol),50,60,20
9/25/2024,Kamote,35,55,33
9/25/2024,Karlang,50,70,29
9/25/2024,Cassava,15,20,23
9/24/2024,Gabi (bisol),50,60,20
9/24/2024,Kamote,35,40,33
9/24/2024,Karlang,40,60,29
9/24/2024,Cassava,15,18,23
9/23/2024,Gabi (bisol),45,50,20
9/23/2024,Kamote,35,40,33
9/23/2024,Karlang,40,60,29
9/23/2024,Cassava,15,18,23
9/22/2024,Gabi (bisol),50,60,19
9/22/2024,Kamote,35,40,33
9/22/2024,Karlang,45,60,29
9/22/2024,Cassava,15,18,23
9/21/2024,Gabi (bisol),50,50,20
9/21/2024,Kamote,35,40,33
9/21/2024,Karlang,55,60,29
9/21/2024,Cassava,15,18,23
9/20/2024,Gabi (bisol),50,50,20
9/20/2024,Kamote,35,40,30
9/20/2024,Karlang,45,60,29
9/20/2024,Cassava,15,18,25
9/19/2024,Gabi (bisol),50,50,20
9/19/2024,Kamote,35,40,33
9/19/2024,Karlang,45,60,29
9/19/2024,Cassava,15,18,23
9/18/2024,Gabi (bisol),50,60,20
9/18/2024,Kamote,45,50,30
9/18/2024,Karlang,40,60,29
9/18/2024,Cassava,15,18,25
9/17/2024,Gabi (bisol),50,55,20
9/17/2024,Kamote,35,40,30
9/17/2024,Karlang,40,60,29
9/17/2024,Cassava,15,18,25
9/16/2024,Gabi (bisol),35,50,20
9/16/2024,Kamote,40,45,30
9/16/2024,Karlang,25,60,29
9/16/2024,Cassava,18,18,25
9/15/2024,Gabi (bisol),35,50,20
9/15/2024,Kamote,40,40,30
9/15/2024,Karlang,25,50,23
9/15/2024,Cassava,18,18,25
9/14/2024,Gabi (bisol),35,50,20
9/14/2024,Kamote,40,45,30
9/14/2024,Karlang,25,60,29
9/14/2024,Cassava,18,18,25
9/13/2024,Gabi (bisol),35,50,20
9/13/2024,Kamote,40,45,30
9/13/2024,Karlang,25,50,25
9/13/2024,Cassava,18,18,25
9/12/2024,Gabi (bisol),35,70,20
9/12/2024,Kamote,40,50,30
9/12/2024,Karlang,30,60,25
9/12/2024,Cassava,18,18,25
9/11/2024,Gabi (bisol),35,70,20
9/11/2024,Kamote,40,50,30
9/11/2024,Karlang,35,60,25
9/11/2024,Cassava,18,25,25
9/10/2024,Gabi (bisol),35,55,20
9/10/2024,Kamote,40,60,27
9/10/2024,Karlang,25,50,25
9/10/2024,Cassava,18,25,25
9/9/2024,Gabi (bisol),35,70,20
9/9/2024,Kamote,40,40,27
9/9/2024,Karlang,20,60,25
9/9/2024,Cassava,18,18,25
9/8/2024,Gabi (bisol),35,70,20
9/8/2024,Kamote,40,40,27
9/8/2024,Karlang,20,60,25
9/8/2024,Cassava,18,18,25
9/7/2024,Gabi (bisol),35,60,20
9/7/2024,Kamote,40,40,27
9/7/2024,Karlang,20,50,25
9/7/2024,Cassava,18,18,25
9/6/2024,Gabi (bisol),35,60,20
9/6/2024,Kamote,40,45,27
9/6/2024,Karlang,20,55,25
9/6/2024,Cassava,18,18,27
9/5/2024,Gabi (bisol),35,50,20
9/5/2024,Kamote,40,45,27
9/5/2024,Karlang,25,50,25
9/5/2024,Cassava,18,20,25
9/4/2024,Gabi (bisol),35,50,20
9/4/2024,Kamote,40,50,27
9/4/2024,Karlang,20,50,25
9/4/2024,Cassava,18,25,25
9/3/2024,Gabi (bisol),35,70,27
9/3/2024,Kamote,40,50,32
9/3/2024,Karlang,25,60,34
9/3/2024,Cassava,18,25,27
9/2/2024,Gabi (bisol),35,60,25
9/2/2024,Kamote,40,45,32
9/2/2024,Karlang,25,50,35
9/2/2024,Cassava,18,18,27
9/1/2024,Gabi (bisol),35,60,27
9/1/2024,Kamote,40,45,32
9/1/2024,Karlang,25,55,35
9/1/2024,Cassava,18,18,25
8/31/2024,Gabi (bisol),35,50,25
8/31/2024,Kamote,40,45,32
8/31/2024,Karlang,25,40,35
8/31/2024,Cassava,18,20,35
8/30/2024,Gabi (bisol),35,50,25
8/30/2024,Kamote,40,45,25
8/30/2024,Karlang,25,50,35
8/30/2024,Cassava,18,18,25
8/29/2024,Gabi (bisol),35,50,25
8/29/2024,Kamote,40,45,25
8/29/2024,Karlang,25,40,36
8/29/2024,Cassava,18,18,35
8/28/2024,Gabi (bisol),33,50,25
8/28/2024,Kamote,40,45,25
8/28/2024,Karlang,25,45,30
8/28/2024,Cassava,18,18,33
8/27/2024,Gabi (bisol),35,55,25
8/27/2024,Kamote,40,50,25
8/27/2024,Karlang,25,40,30
8/27/2024,Cassava,18,25,35
8/26/2024,Gabi (bisol),35,60,25
8/26/2024,Kamote,40,45,25
8/26/2024,Karlang,25,45,30
8/26/2024,Cassava,18,18,35
8/25/2024,Gabi (bisol),40,65,25
8/25/2024,Kamote,40,40,25
8/25/2024,Karlang,30,45,30
8/25/2024,Cassava,18,18,35
8/24/2024,Gabi (bisol),40,60,25
8/24/2024,Kamote,40,30,36
8/24/2024,Karlang,30,45,30
8/24/2024,Cassava,18,18,35
8/23/2024,Gabi (bisol),40,60,25
8/23/2024,Kamote,40,45,36
8/23/2024,Karlang,30,50,30
8/23/2024,Cassava,18,20,35
8/22/2024,Gabi (bisol),35,60,25
8/22/2024,Kamote,40,40,36
8/22/2024,Karlang,30,50,30
8/22/2024,Cassava,18,20,35
8/21/2024,Gabi (bisol),35,70,25
8/21/2024,Kamote,40,60,40
8/21/2024,Karlang,25,70,30
8/21/2024,Cassava,18,25,35
8/20/2024,Gabi (bisol),35,50,25
8/20/2024,Kamote,40,50,40
8/20/2024,Karlang,25,50,30
8/20/2024,Cassava,18,25,25
8/19/2024,Gabi (bisol),30,60,24
8/19/2024,Kamote,40,40,40
8/19/2024,Karlang,35,50,30
8/19/2024,Cassava,18,20,27
8/18/2024,Gabi (bisol),30,70,25
8/18/2024,Kamote,40,35,40
8/18/2024,Karlang,35,50,30
8/18/2024,Cassava,18,18,25
8/17/2024,Gabi (bisol),30,60,45
8/17/2024,Kamote,40,35,30
8/17/2024,Karlang,35,40,28
8/17/2024,Cassava,18,20,20
8/16/2024,Gabi (bisol),30,70,45
8/16/2024,Kamote,40,40,30
8/16/2024,Karlang,35,50,28
8/16/2024,Cassava,18,20,20
8/15/2024,Gabi (bisol),30,70,45
8/15/2024,Kamote,40,40,30
8/15/2024,Karlang,35,50,28
8/15/2024,Cassava,18,25,20
8/14/2024,Gabi (bisol),30,70,45
8/14/2024,Kamote,40,40,30
8/14/2024,Karlang,35,70,28
8/14/2024,Cassava,18,25,20
8/13/2024,Gabi (bisol),30,70,45
8/13/2024,Kamote,40,50,30
8/13/2024,Karlang,35,40,28
8/13/2024,Cassava,18,25,20
8/12/2024,Gabi (bisol),30,60,45
8/12/2024,Kamote,40,40,30
8/12/2024,Karlang,35,50,28
8/12/2024,Cassava,18,18,20
8/11/2024,Gabi (bisol),30,60,45
8/11/2024,Kamote,40,40,30
8/11/2024,Karlang,35,45,28
8/11/2024,Cassava,18,18,20
8/10/2024,Gabi (bisol),30,60,45
8/10/2024,Kamote,40,40,30
8/10/2024,Karlang,35,50,28
8/10/2024,Cassava,18,18,20
8/9/2024,Gabi (bisol),30,60,45
8/9/2024,Kamote,40,35,30
8/9/2024,Karlang,35,50,28
8/9/2024,Cassava,18,18,20
8/8/2024,Gabi (bisol),30,60,45
8/8/2024,Kamote,40,40,30
8/8/2024,Karlang,35,50,28
8/8/2024,Cassava,18,20,20
8/7/2024,Gabi (bisol),30,75,45
8/7/2024,Kamote,40,55,30
8/7/2024,Karlang,35,70,25
8/7/2024,Cassava,18,25,20
8/6/2024,Gabi (bisol),30,70,45
8/6/2024,Kamote,40,50,30
8/6/2024,Karlang,35,60,25
8/6/2024,Cassava,18,20,20
8/5/2024,Gabi (bisol),30,70,45
8/5/2024,Kamote,40,40,30
8/5/2024,Karlang,35,50,20
8/5/2024,Cassava,18,18,20
8/4/2024,Gabi (bisol),30,70,45
8/4/2024,Kamote,40,35,30
8/4/2024,Karlang,35,50,25
8/4/2024,Cassava,18,18,20
8/3/2024,Gabi (bisol),30,40,45
8/3/2024,Kamote,40,18,30
8/3/2024,Karlang,35,70,25
8/3/2024,Cassava,18,18,20
8/2/2024,Gabi (bisol),30,70,45
8/2/2024,Kamote,40,50,32
8/2/2024,Karlang,30,60,25
8/2/2024,Cassava,18,18,20
8/1/2024,Gabi (bisol),30,70,45
8/1/2024,Kamote,40,50,32
8/1/2024,Karlang,30,60,25
8/1/2024,Cassava,18,20,20
7/31/2024,Gabi (bisol),30,60,45
7/31/2024,Kamote,40,35,32
7/31/2024,Karlang,30,50,28
7/31/2024,Cassava,18,20,20
7/30/2024,Gabi (bisol),40,70,45
7/30/2024,Kamote,40,40,32
7/30/2024,Karlang,35,70,28
7/30/2024,Cassava,18,25,20
7/29/2024,Gabi (bisol),40,70,45
7/29/2024,Kamote,40,35,32
7/29/2024,Karlang,25,50,28
7/29/2024,Cassava,18,18,20
7/28/2024,Gabi (bisol),40,70,45
7/28/2024,Kamote,40,40,32
7/28/2024,Karlang,25,50,28
7/28/2024,Cassava,18,18,20
7/27/2024,Gabi (bisol),40,70,45
7/27/2024,Kamote,40,35,32
7/27/2024,Karlang,25,45,28
7/27/2024,Cassava,18,18,20
7/26/2024,Gabi (bisol),40,70,45
7/26/2024,Kamote,40,35,32
7/26/2024,Karlang,25,40,28
7/26/2024,Cassava,18,18,20
7/25/2024,Gabi (bisol),40,90,45
7/25/2024,Kamote,40,50,32
7/25/2024,Karlang,17,40,20
7/25/2024,Cassava,18,20,20
7/24/2024,Gabi (bisol),40,40,45
7/24/2024,Kamote,18,50,32
7/24/2024,Karlang,17,35,20
7/24/2024,Cassava,18,18,20
7/23/2024,Gabi (bisol),40,70,45
7/23/2024,Kamote,18,50,32
7/23/2024,Karlang,17,25,20
7/23/2024,Cassava,18,18,20
7/22/2024,Gabi (bisol),40,18,45
7/22/2024,Kamote,18,34,32
7/22/2024,Karlang,17,30,20
7/22/2024,Cassava,18,8,20
7/21/2024,Gabi (bisol),40,18,45
7/21/2024,Kamote,18,34,32
7/21/2024,Karlang,17,30,20
7/21/2024,Cassava,18,8,20
7/20/2024,Gabi (bisol),40,18,45
7/20/2024,Kamote,18,34,32
7/20/2024,Karlang,17,30,20
7/20/2024,Cassava,18,8,20
7/19/2024,Gabi (bisol),40,60,45
7/19/2024,Kamote,18,34,32
7/19/2024,Karlang,17,30,20
7/19/2024,Cassava,18,8,20
7/18/2024,Gabi (bisol),40,70,45
7/18/2024,Kamote,18,55,30
7/18/2024,Karlang,17,30,20
7/18/2024,Cassava,18,40,16
7/17/2024,Gabi (bisol),40,70,45
7/17/2024,Kamote,18,40,30
7/17/2024,Karlang,17,60,20
7/17/2024,Cassava,18,18,16
7/16/2024,Gabi (bisol),40,50,45
7/16/2024,Kamote,35,30,30
7/16/2024,Karlang,17,40,20
7/16/2024,Cassava,18,18,16
7/15/2024,Gabi (bisol),40,50,45
7/15/2024,Kamote,25,35,30
7/15/2024,Karlang,20,45,26
7/15/2024,Cassava,18,18,16
